rank,fiscal_year,posting_date,agency,category1,payee,appropriation_1_name,amount,risk_score,markers,verify_status,overtaker_interest,public_context
182,2025,2025-03-12,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15296877.5000,12.0,"sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
183,2025,2024-12-06,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15296877.5000,12.0,"sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
184,2025,2024-11-07,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,15296877.5000,12.0,"sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
185,2023,2023-04-07,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,12260000.0000,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
186,2024,2024-04-08,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,10977452.5000,12.0,"sole_source,peer_outlier",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
187,2023,2023-05-10,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,9993750.0000,12.0,"whole_dollar,new_vendor_dominant,new_vendor_large",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
188,2023,2023-03-07,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,9961250.0000,12.0,"whole_dollar,new_vendor_dominant,new_vendor_large",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
189,2024,2023-08-08,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,PROFESSIONAL AND OUTSIDE SERVICES,LOCAL INITIATIVES SUPPORT CORPORATION,ECDH FUND - NON-APPROPRIATED,9882747.9100,12.0,"true_duplicate,peer_outlier",explained_benign,2,"Local Initiatives Support Corporation (LISC) is a major national nonprofit community-development financial intermediary. Its Phoenix office administered Arizona's ~$60M Child Care Infrastructure Grant program (federal ARPA/CCDF pandemic relief) on behalf of DES and First Things First, awarding facility-improvement grants to 478 child care providers statewide."
190,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,7425481.4400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
191,2023,2022-12-09,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,DISCOVERY EDUCATION INC,EDUCATION FOR THE DISADVANTAGED,6993493.6600,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
192,2023,2022-12-09,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,DISCOVERY EDUCATION INC,EDUCATION FOR THE DISADVANTAGED,6993493.6500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
193,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,5951988.1400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
194,2021,2021-03-03,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,5640886.8900,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
195,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,5523003.3200,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
196,2021,2021-02-23,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,5496964.2500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
197,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,4794950.3400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
198,2023,2022-11-02,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,DONORSCHOOSE ORG,EDUCATION FOR THE DISADVANTAGED,4736825.8500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"DonorsChoose is a well-known national education nonprofit. The Arizona Department of Education publicly partnered with it using federal ESSER COVID-relief funds (announced $14M and an additional $5M efforts) to let public-school teachers request classroom resources (~$1,000/project cap), funding 15,000+ teacher projects."
199,2021,2020-09-14,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,4687283.6500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
200,2024,2023-12-15,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,FOCALPOINTK12 INC,EDUCATION FOR THE DISADVANTAGED,4637247.7600,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
201,2021,2021-06-15,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,CENTURION OF ARIZONA LLC,INMATE HEALTH CARE CONTRACTED SERVICES,4000000.0000,12.0,"round_1m,june_round",explained_benign,3,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities."
202,2021,2020-09-22,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,3797003.1800,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
203,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,3695373.1000,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
204,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,3567192.9600,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
205,2018,2017-12-18,DEPT OF ADMINISTRATION,PROFESSIONAL AND OUTSIDE SERVICES,IBM CREDIT LLC,OPERATING LUMP SUM APPROPRIATION,3500000.0000,12.0,"round_100k,peer_outlier",screened_unreviewed,,
206,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,3341283.6400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
207,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,3019427.3700,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
208,2021,2020-09-14,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,2984766.9500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
209,2021,2020-10-21,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,2647181.4000,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
210,2021,2021-02-01,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,FEDERAL AID,2641520.0000,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
211,2023,2023-04-13,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,NCS PEARSON INC,ACCOUNTABILITY & ACHIEVEMENT TESTING PROP 301,2631787.7500,12.0,"true_duplicate,peer_outlier",screened_unreviewed,,
212,2023,2023-01-24,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,NCS PEARSON INC,ACHIEVEMENT TESTING ASSESSMENT,2631787.7500,12.0,"true_duplicate,peer_outlier",screened_unreviewed,,
213,2021,2021-04-08,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,2575449.8300,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
214,2021,2020-10-26,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,2504552.7600,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
215,2023,2023-06-16,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,GINKGO BIOWORKS INC,FEDERAL GRANTS,1929991.7500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
216,2021,2021-02-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,1914672.5400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
217,2024,2023-08-08,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,LTC INSTITUTIONAL CLR,1878123.8400,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
218,2023,2023-04-11,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,LTC INSTITUTIONAL CLR,1800000.0000,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
219,2024,2024-06-26,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,LTC INSTITUTIONAL OPERATING,1800000.0000,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
220,2025,2025-06-25,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DAAS NON-APPROPRIATED OPERATING,1697474.8400,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
221,2018,2017-08-22,DEPT OF PUBLIC SAFETY,CAPITAL EQUIPMENT,"COMMUTER AIR TECHNOLOGY\, INC",BORDER STRIKE TASK FORCE ONE-TIME,1641470.0000,12.0,"whole_dollar,new_vendor_large,peer_outlier",screened_unreviewed,,
222,2021,2021-03-25,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DBME OPERATING LUMP SUM CLEARING,1637100.0000,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
223,2021,2020-12-22,DEPT OF ECONOMIC SECURITY,PROFESSIONAL AND OUTSIDE SERVICES,N/A,DBME OPERATING LUMP SUM CLEARING,1637100.0000,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
224,2023,2023-06-30,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,GINKGO BIOWORKS INC,FEDERAL GRANTS,1617396.7500,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
225,2024,2024-04-08,DEPT OF CORRECTIONS,PROFESSIONAL AND OUTSIDE SERVICES,NAPHCARE INC,INMATE HEALTH CARE CONTRACTED SERVICES,1500000.0000,12.0,"round_100k,sole_source",mixed,4,"NaphCare is a private correctional-healthcare provider awarded a five-year, ~$1.4B ($279.7M/yr) full-risk Arizona DOC inmate medical/mental/dental contract effective Oct 2022. In Feb 2026 a federal judge ordered a court-appointed receivership over Arizona prison healthcare with authority to renegotiate or terminate the NaphCare contract after sustained constitutional-violation litigation."
226,2024,2024-04-26,DEPT OF EDUCATION,PROFESSIONAL AND OUTSIDE SERVICES,SOLIX INC,EDUCATION FOR THE DISADVANTAGED,1405869.9100,12.0,"true_duplicate,short_tenure_vendor,new_vendor_large",screened_unreviewed,,
227,2021,2021-02-02,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,1267810.6400,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
228,2019,2019-06-20,DEPT OF TRANSPORTATION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,,1248768.6100,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
229,2021,2020-10-21,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,VIZIENT INC,PUBLIC HEALTH EMERGENCIES,1245497.6800,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",explained_benign,2,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare."
230,2023,2023-05-05,DEPT OF HEALTH SERVICES,PROFESSIONAL AND OUTSIDE SERVICES,GINKGO BIOWORKS INC,FEDERAL GRANTS,1129435.5000,12.0,"short_tenure_vendor,new_vendor_large,peer_outlier",screened_unreviewed,,
231,2018,2017-08-15,OFFICE OF ECONOMIC OPPORTUNITY,PROFESSIONAL AND OUTSIDE SERVICES,"WORLDWIDE INTERACTIVE NETWORK\, INC.",ECONOMIC DEVELOPMENT EXPENDITURE,1069470.0000,12.0,"whole_dollar,new_vendor_dominant,short_tenure_vendor,new_vendor_large",screened_unreviewed,,
232,2024,2024-05-21,INDUSTRIAL COMMISSION,PROFESSIONAL AND OUTSIDE SERVICES,N/A,SPECIAL FUND NON-APPROPRIATED,1001334.7400,12.0,"peer_outlier,manual_rail_disc",screened_unreviewed,,
233,2018,2018-05-24,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,12.6 PERCENT DISTRIBUTION,28425000.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
234,2016,2016-03-28,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,FEDERAL AID,28302000.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
235,2018,2018-01-23,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,ZEITLIN AND ZEITLIN PC,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,16244000.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Zeitlin & Zeitlin, P.C. is a Phoenix, AZ law firm (founded 1993, Dale & Dawn Zeitlin) specializing in eminent domain and inverse condemnation, representing property owners in government takings; principal Dale Zeitlin has handled over $100M in eminent-domain cases. ADOT payments to it are right-of-way acquisition/condemnation just-compensation payouts."
236,2025,2024-08-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,13901761.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
237,2023,2022-10-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,13092555.0200,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
238,2021,2021-03-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,11760559.6800,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
239,2017,2016-08-22,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,FEDERAL AID,11167949.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
240,2016,2015-10-20,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,M-RARF CONSTRUCT FREEWAYS  OTH RT 56-2,10635300.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
241,2025,2024-07-15,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,10194625.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
242,2023,2022-11-14,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,PULICE - FNF - FLATIRON JOINT VENTURE,FEDERAL AID,9652873.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Pulice-FNF-Flatiron is a recognizable joint venture of three heavy-civil highway contractors (Pulice Construction, FNF Construction, Flatiron) that builds major Arizona freeway projects under ADOT, typically Maricopa Association of Governments freeway-program and federal-aid-funded design-build contracts (e.g., the Loop 202 South Mountain Freeway corridor)."
243,2018,2018-05-24,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,2.6 PERCENT DISTRIBUTION,9475000.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
244,2024,2023-07-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,9033424.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
245,2024,2024-06-17,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,INTERSTATE 17 EXPANSION,9033424.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
246,2023,2022-12-19,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,KIEWIT-FANN JOINT VENTURE,M-RARF CONSTRUCT FREEWAYS OTH RT 56-2,9025481.3600,11.7,"new_vendor_large,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Kiewit-Fann is a joint venture of Kiewit Infrastructure and Fann Contracting (both established Arizona/Southwest civil contractors), formed to deliver ADOT's Interstate 17 Anthem-to-Sunset Point widening — the state's largest current freeway project, procured as a design-build-maintain contract with a financed/debt-service component."
247,2016,2016-05-26,DEPT OF TRANSPORTATION,CAPITAL OUTLAY,SECURITY TITLE AGENCY INC,FEDERAL AID,8039075.0000,11.7,"whole_dollar,peer_outlier,no_contract_named,offcontract",explained_benign,2,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions."
