vid,payee,hv_exposure,flagged_exposure,n_flagged,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,agencies_served,top_agency,first_year_seen,peak_agency_share,top_markers,verify_verdict,overtaker_interest,recommended_action,public_context
IV0000013185,NAME REDACTED,4838776,4838776,3,2,4338776,1,1,12.6,1,ATTORNEY GENERAL (DEPT OF LAW),2021,0.015871432555326095,offcontract|peer_outlier|whole_dollar|round_100k,,,,
IV0000003961,GILA RIVER INDIAN COMMUNITY,8229521,6114442,9,3,4284482,1,1,8.4,3,DEPT OF TRANSPORTATION,2023,0.021319786042920785,offcontract|whole_dollar|peer_outlier,,,,
IV0000037296,PREMIER LAB SOLUTIONS,8862008,5361382,6,3,4194801,1,1,10.5,1,DEPT OF HEALTH SERVICES,2021,0.0017571036223235329,whole_dollar|peer_outlier|new_vendor_large|round_1m,,,,
PZ000000266,CORIZON INC,459102303,57014049,105,4,4191006,33,1,19.5,1,DEPT OF CORRECTIONS,2016,0.13003173688003963,whole_dollar|offcontract|true_duplicate|round_100k|june_round,,,,
VC0000078410,AGWEST FARM CREDIT FLCA,4414354,4414354,2,1,4162736,1,1,10.4,1,DEPT OF TRANSPORTATION,2024,0.0007326581850329413,short_tenure_vendor|offcontract|new_vendor_large|no_contract_named,,,,
VC0000082069,AG PROPERTY SOLUTIONS LLC,5199149,5199149,6,2,4065480,4,1,7.8,1,DEPT OF TRANSPORTATION,2025,0.0010779099809033335,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,
IV0000035925,ODYSSEY INTERNATIONAL,7297741,7297741,6,2,3848441,1,1,12.6,1,DEPT OF HEALTH SERVICES,2021,0.005543972156883388,offcontract|peer_outlier|whole_dollar,,,,
VC0000070243,BERRY RIDDELL LLC,5568866,5568866,6,2,3844033,4,1,10.4,1,DEPT OF TRANSPORTATION,2024,0.0009537397608749122,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,
VC0000060343,PM INDUSTRIAL HOLDINGS LP,4000000,4000000,2,1,3772000,1,1,14.3,1,DEPT OF TRANSPORTATION,2021,0.001060412047172998,new_vendor_large|whole_dollar|short_tenure_vendor|offcontract|no_contract_named,,,,
IV0000010205,SCOTTSDALE HEALTHCARE FOUNDATION,3691336,3691336,1,1,3691336,0,1,19.5,1,DEPT OF HEALTH SERVICES,2021,0.002776103949622209,no_contract_named|offcontract|short_tenure_vendor|new_vendor_large|peer_outlier,,,,
PZ9000008591,HDR ENGINEERING INC,42557849,29667035,78,3,3690261,9,1,9.0,1,DEPT OF TRANSPORTATION,2016,0.007234075447679092,offcontract|peer_outlier|no_contract_named|whole_dollar,,,,
IV0000000889,JACOBS ENGINEERING GROUP INC,19270052,19119849,67,3,3647604,7,1,13.5,1,DEPT OF TRANSPORTATION,2023,0.0029191181420102456,offcontract|true_duplicate|peer_outlier|whole_dollar|no_contract_named,,,,
IV0000047662,WW CLYDE,5586408,5586408,7,2,3560782,5,1,7.8,1,DEPT OF TRANSPORTATION,2025,0.001325565530848387,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,
PZ000002297,MARICOPA ASSOC OF GOVNTS,54840213,5232201,4,2,3560782,2,1,6.0,1,DEPT OF TRANSPORTATION,2016,0.007180621897696596,peer_outlier,,,,
0201071I,VALLEYWISE HEALTH MEDICAL,5831625,5831625,6,1,3433814,5,1,15.0,1,DEPT OF CHILD SAFETY,2024,0.0012313254450971838,offcontract|true_duplicate|peer_outlier|new_vendor_large|no_contract_named,,,,
IV0000002409,FANN CONTRACTING INC,204565061,190383483,222,1,3424374,5,1,6.5,2,DEPT OF TRANSPORTATION,2021,0.013469456136988918,offcontract|no_contract_named|whole_dollar|peer_outlier,,,,
COP29954,NAME REDACTED,3422980,3422980,2,1,3322187,0,1,8.4,1,INDUSTRIAL COMMISSION,2016,0.07016469813057041,offcontract|peer_outlier,,,,
IV0000006043,VHS ACQUISITION SUBSIDIARY NUMBER 8 INC,4171069,3212996,1,1,3212996,0,1,13.5,2,BOARD OF NURSING,2021,0.038138798153255375,peer_outlier|whole_dollar|no_contract_named|offcontract,,,,
VC0000010271,59TH & I-10 INC,3360000,3360000,2,1,3168480,1,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.0009450222047845208,whole_dollar|offcontract|no_contract_named,,,,
PZ000013425,LAWYERS TITLE OF ARIZONA INC,3897159,3147159,2,2,3147159,0,1,14.3,2,GAME AND FISH DEPARTMENT,2017,0.026983699562177478,offcontract|peer_outlier|no_contract_named|round_1m|whole_dollar,,,,
IV0000000735,FASTENAL COMPANY,16311327,11130726,20,2,3121707,2,1,9.8,2,DEPT OF HEALTH SERVICES,2021,0.011413568707956687,whole_dollar|true_duplicate|peer_outlier,,,,
IV0000003809,PIMA AGENCY AK-CHIN INDIAN COMMUNITY,3981852,3981852,2,1,3107370,1,1,12.6,1,DEPT OF WATER RESOURCES,2023,0.016453472346041033,offcontract|whole_dollar|peer_outlier,,,,
VC0000040318,"THE NEWPORT GROUP 37\, LLC",3445588,3445588,3,1,3103614,2,1,7.8,1,DEPT OF TRANSPORTATION,2018,0.001043874164973285,offcontract|short_tenure_vendor|new_vendor_large|no_contract_named,,,,
IV0000015969,NAME REDACTED,3037500,3037500,1,1,3037500,0,1,12.6,1,ATTORNEY GENERAL (DEPT OF LAW),2021,0.020791858444283263,offcontract|peer_outlier|whole_dollar,,,,
PZ000002550,MANAGEMENT AND TRAINING CORP,44986131,21435298,56,1,3023217,2,1,7.5,1,DEPT OF CORRECTIONS,2016,0.024604171805498176,whole_dollar|offcontract|no_contract_named,,,,
PZ000055925,"IVALUA\, INC.",4440197,3808749,4,2,2959691,2,1,16.5,1,DEPT OF ADMINISTRATION,2018,0.003036133291774276,new_vendor_large|short_tenure_vendor|whole_dollar|peer_outlier,,,,
IV0000033022,ACME CONCRETE PAVING INC,12989794,12989794,14,1,2956768,1,1,7.8,1,DEPT OF TRANSPORTATION,2024,0.0020669446553492816,offcontract|no_contract_named|new_vendor_large|short_tenure_vendor,,,,
IV0000002674,CENTER FOR THE FUTURE OF ARIZONA,8841431,6091260,4,1,2950926,1,1,10.5,2,GOVERNOR'S OFFICE,2023,0.0032537831539095462,whole_dollar|peer_outlier,,,,
PZ000015265,CDW GOVERNMENT INC,36382886,12917648,27,1,2932200,5,1,9.8,20,DEPT OF ECONOMIC SECURITY,2017,0.06567777448236177,whole_dollar|peer_outlier|offcontract,,,,
IV0000000859,ABBOTT RAPID DX NORTH AMERICA LLC,15264423,13720684,19,1,2851352,13,1,9.8,1,DEPT OF HEALTH SERVICES,2023,0.01807115770517184,true_duplicate|offcontract|whole_dollar|peer_outlier,,,,
IV0000044520,PARTNERSHIP FOR ECONOMIC INNOVATION,3930468,3930468,4,2,2803572,2,1,10.5,1,DEPT OF EDUCATION,2024,0.0005398551000782813,short_tenure_vendor|whole_dollar,,,,
IV0000037008,MADDOX DEFENSE INC,10147391,10147391,15,1,2787748,2,1,8.4,1,DEPT OF HEALTH SERVICES,2021,0.007699540476562606,offcontract|whole_dollar|peer_outlier,,,,
IV0000008972,NAME REDACTED,1695907660,4039935,6,1,2764281,0,1,6.0,1,DEPT OF ECONOMIC SECURITY,2021,0.07661350517474486,offcontract|whole_dollar|peer_outlier,,,,
VC0000076330,ROSEN BIEN GALVAN & GRUNFELD LLP,2864775,2864775,3,2,2650000,1,1,16.8,1,DEPT OF CORRECTIONS,2023,0.0014107369553321935,offcontract|peer_outlier|round_100k|new_vendor_large,,,,
PZ000047784,"SUNDT/KIEWIT\, A JOINT VENTURE",78134185,78134185,86,2,2557525,3,1,6.5,1,DEPT OF TRANSPORTATION,2017,0.013745784555873702,offcontract|no_contract_named|whole_dollar,,,,
VC0000006914,CLERK US DISTRICT COURT,2545000,2545000,2,2,2545000,0,1,14.0,1,DEPT OF CORRECTIONS,2018,0.001184148961545243,offcontract|peer_outlier|round_100k|whole_dollar,,,,
IV0000002958,TUCSON MEDICAL CENTER,5916360,2500000,1,1,2500000,0,1,15.0,2,DEPT OF EMERGENCY AND MILITARY AFFAIRS,2021,0.00339646725570906,offcontract|peer_outlier|round_100k|no_contract_named,,,,
PZ000057654,SHELL-O-MATIC,4011533,4011533,5,2,2473892,2,1,6.5,1,DEPT OF TRANSPORTATION,2017,0.0009388208777549656,offcontract|no_contract_named|whole_dollar|new_vendor_large,,,,
IV0000084477,SONORAN SOUTH CONSTRUCTORS,2439632,2439632,2,2,2439632,0,1,13.0,1,DEPT OF TRANSPORTATION,2025,0.0005243540014806723,short_tenure_vendor|no_contract_named|true_duplicate|offcontract|new_vendor_large,,,,
IV0000004886,THE LAVIDGE CO,10659664,3341593,5,1,2427393,3,1,10.5,5,DEPT OF HEALTH SERVICES,2021,0.11952376980039844,whole_dollar|true_duplicate|round_100k|peer_outlier|june_round,,,,
IV0000000892,SONORA QUEST LABORATORIES LLC,3009871,3009871,5,2,2420877,2,1,15.0,1,DEPT OF HEALTH SERVICES,2021,0.0023121622640096848,new_vendor_large|whole_dollar|peer_outlier,,,,
VC0000071464,BERENDO PROPERTY,2402600,2402600,1,1,2402600,0,1,14.3,1,DEPT OF TRANSPORTATION,2023,0.0005290888608121772,offcontract|whole_dollar|short_tenure_vendor|no_contract_named|new_vendor_large,,,,
PZ000044418,OUTFRONT MEDIA LLC,3176170,3176170,4,1,2401821,3,1,11.7,1,DEPT OF TRANSPORTATION,2017,0.0010049718704547832,offcontract|new_vendor_large|short_tenure_vendor|whole_dollar|no_contract_named,,,,
IV0000006533,AMES CONSTRUCTION INC,116339882,112432240,112,2,2389109,1,1,6.5,1,DEPT OF TRANSPORTATION,2021,0.0200247865986582,offcontract|no_contract_named|whole_dollar,,,,
VC0000008417,COPPER STATE RUBBER OF ARIZONA INC,5395386,5395386,9,2,2339875,2,1,7.8,1,DEPT OF TRANSPORTATION,2017,0.0011196515080640057,offcontract|new_vendor_large|short_tenure_vendor|no_contract_named,,,,
VC0000040330,"FORESIGHT GROUP HOLDINGS VI\, LLC",2616796,2616796,3,1,2333947,2,1,7.8,1,DEPT OF TRANSPORTATION,2018,0.0007932316100728507,offcontract|new_vendor_large|short_tenure_vendor|no_contract_named,,,,
IV0000001208,MAXIMUS HUMAN SERVICES INC,17495534,4911077,5,1,2281788,0,1,6.0,2,DEPT OF ECONOMIC SECURITY,2021,0.015987677284077833,offcontract|peer_outlier,,,,
IV0000054054,WILLIAM CHARLES CONSTRUCTION COMPANY LLC,18525728,18525728,48,2,2250525,10,1,10.4,1,DEPT OF TRANSPORTATION,2023,0.0015129294302274891,offcontract|new_vendor_large|no_contract_named|whole_dollar,,,,
PZ9000005454,CORVEL CORPORATION,29304807,29174550,179,2,2184617,1,1,9.0,1,DEPT OF ADMINISTRATION,2016,0.01158600598121298,offcontract|peer_outlier|no_contract_named|whole_dollar,,,,
IV0000013892,MARSH USA,6148349,3501076,7,2,2174586,4,1,7.0,1,DEPT OF ADMINISTRATION,2023,0.0012634009044119887,offcontract|whole_dollar,,,,
VC0000057634,MARICOPA-STANFIELD IRRIGATION & DRAINAGE DISTRICT,19214967,10366173,19,2,2139823,7,1,15.0,2,DEPT OF WATER RESOURCES,2021,0.10273610456795085,offcontract|whole_dollar|new_vendor_large|no_contract_named|true_duplicate,,,,
IV0000003373,DIGNITY HEALTH,5503362,2121000,2,2,2121000,0,1,22.4,2,BOARD OF NURSING,2021,0.05586709851443919,offcontract|peer_outlier|new_vendor_large|whole_dollar|true_duplicate,,,,
PZ000055626,JHAWAR INDUSTRIES INC,3828367,3828367,9,2,2090416,5,1,13.0,1,DEPT OF TRANSPORTATION,2017,0.000748244424096875,offcontract|whole_dollar|new_vendor_large|true_duplicate|short_tenure_vendor,,,,
IV0000026135,MCNEIL BROTHERS INC,38996016,13045127,28,2,2081428,7,1,12.6,1,DEPT OF TRANSPORTATION,2021,0.004093270585273728,whole_dollar|offcontract|peer_outlier,,,,
PZ000040488,TITLE SECURITY AGENCY LLC,14566788,13944534,22,1,2070420,3,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.00226773321447578,offcontract|no_contract_named|whole_dollar,,,,
IV0000002689,BUSINESS AND DECISION NORTH AMERICA PA INC,8236534,6973346,8,1,2001121,2,1,9.8,2,DEPT OF CORRECTIONS,2021,0.0012036286715718767,true_duplicate|peer_outlier|whole_dollar,,,,
VC0000045878,"XPO LOGISTICS SUPPLY CHAIN\, INC.",2600153,2600153,2,1,2000153,1,1,10.4,1,DEPT OF TRANSPORTATION,2018,0.0006043288968002929,offcontract|new_vendor_large|short_tenure_vendor|round_100k|no_contract_named,,,,
PZ000053526,KIEWIT DEVELOPMENT COMPANY,2000000,2000000,1,1,2000000,0,1,21.0,1,DEPT OF TRANSPORTATION,2016,0.0005625132171336434,no_contract_named|offcontract|round_1m|peer_outlier|june_round,explained_benign,2,downgrade,"Kiewit Development Company was a short-listed proposer team in ADOT's Loop 202 South Mountain Freeway design-build P3 procurement; it lost to Connect 202 Partners (Fluor/Granite/Ames), which won the ~$916M contract finalized in 2016. The $2M is the standard losing-proposer stipend paid to defray proposal-development costs."
PZ000033197,PULICE CONSTRUCTION INC,138106873,77842819,92,1,2000000,4,1,21.0,1,DEPT OF TRANSPORTATION,2016,0.018520438807006313,offcontract|no_contract_named|whole_dollar|june_round|round_1m,explained_benign,2,annotate,"Pulice Construction Inc is a long-established Arizona heavy-highway/freeway construction contractor (Phoenix area) that is a frequent ADOT prime/design-build contractor on Loop and freeway projects. ADOT routinely pays fixed 'stipends' to design-build proposers, which are round lump-sum amounts."
PZ000045092,ARROW DEVELOPMENT CORP,2123131,2123131,3,2,2000000,0,1,8.4,1,DEPT OF CHILD SAFETY,2023,0.001339987591174122,offcontract|round_1m,,,,
PZ000050078,CITY OF SURPRISE,2000000,2000000,1,1,2000000,0,1,7.0,1,DEPT OF WATER RESOURCES,2018,0.06214769632339343,round_1m,,,,
IV0000000132,SHI INTERNATIONAL CORP,136954771,42141830,121,1,1949977,20,1,11.2,21,DEPT OF ECONOMIC SECURITY,2021,0.4783361211958317,whole_dollar|offcontract|true_duplicate|peer_outlier|round_100k,,,,
IV0000017660,CURRIER MCCABE INC,13034269,11763580,51,1,1948200,3,1,9.8,1,DEPT OF HEALTH SERVICES,2021,0.006495597164753913,whole_dollar|true_duplicate|round_100k|peer_outlier,,,,
IV0000066069,BANNER HEALTH FOUNDATION,3731735,1933648,1,1,1933648,0,1,6.0,1,BOARD OF NURSING,2024,0.11413971648311079,peer_outlier,,,,
IV0000017033,INTERNATIONAL BUSINESS MACHINES CORP,63813091,19341499,46,1,1877957,24,1,10.5,6,DEPT OF CHILD SAFETY,2021,0.006773295935207272,true_duplicate|whole_dollar|offcontract|peer_outlier,,,,
PZ9000000579,INTERNATIONAL BUSINESS MACHINES CORP,20060114,8753088,18,1,1853285,4,1,7.0,5,DEPT OF ECONOMIC SECURITY,2016,0.004511163162296186,offcontract|whole_dollar|true_duplicate,,,,
PZ000055431,"MPI\, INC.",3506820,3506820,8,1,1851680,5,1,7.8,1,DEPT OF TRANSPORTATION,2017,0.0008094115107748016,offcontract|short_tenure_vendor|new_vendor_large|whole_dollar|no_contract_named,,,,
PZ000039857,ASHTON COMPANY INC,52731266,43626687,62,1,1850373,2,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.0075476816481951075,offcontract|no_contract_named|whole_dollar,,,,
PZ000018075,DOXA CENTRAL LLC,2747875,2747875,7,1,1735500,0,1,9.8,1,ATTORNEY GENERAL (DEPT OF LAW),2018,0.0186330992126964,whole_dollar|peer_outlier,,,,
VC0000063751,NAME REDACTED,1690400,1690400,1,1,1690400,0,1,12.6,1,ATTORNEY GENERAL (DEPT OF LAW),2021,0.011570883132252322,peer_outlier|offcontract|whole_dollar,explained_benign,2,downgrade,"Payee name is redacted in the data (the literal string 'NAME REDACTED' is a placeholder token shared by ~1,821 distinct vendor IDs), so no specific named entity can be identified or searched. The Arizona AG's Consumer Restitution and Remediation Revolving Fund is the statutory vehicle (A.R.S. consumer-fraud statutes) for disbursing settlement proceeds, frequently to counties and claims administrators."
IV0000002334,NESBITT CONTRACTING CO INC,28732894,12408748,20,1,1684040,4,1,6.5,1,DEPT OF TRANSPORTATION,2021,0.002852142722555376,offcontract|whole_dollar|no_contract_named|round_100k,,,,
PZ000055677,"COMMUTER AIR TECHNOLOGY\, INC",1641470,1641470,1,1,1641470,0,1,12.0,1,DEPT OF PUBLIC SAFETY,2018,0.0026006131421401546,peer_outlier|whole_dollar|new_vendor_large,,,,
PZ000009751,FNF CONSTRUCTION INC,238874859,166529508,255,1,1635823,4,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.02623012254292457,offcontract|no_contract_named|whole_dollar,,,,
0,,255474970,29930974,47,1,1575000,5,1,9.8,21,DEPT OF ECONOMIC SECURITY,2016,0.16202470838361202,offcontract|manual_rail|manual_rail_disc|whole_dollar,,,,
IV0000053233,HIGHER GROUND A RESOURCE CENTER,4360107,1515915,1,1,1515915,0,1,9.0,2,GOVERNOR'S OFFICE,2023,0.004235640698216109,whole_dollar|new_vendor_large,,,,
IV0000036581,QUALTRICS LLC,2602420,2602420,5,1,1515420,4,1,19.5,1,DEPT OF HEALTH SERVICES,2021,0.001972903724732189,new_vendor_large|offcontract|short_tenure_vendor|whole_dollar|no_contract_named,,,,
IV0000001534,KINELLA CONSTRUCTION LLC,5635003,4683926,7,1,1500000,0,1,16.8,2,SENATE,2023,0.20335089498004677,sole_source|round_100k|peer_outlier,genuine_review,4,keep,"Kinella Construction LLC is a Phoenix Valley general contractor (Arizona registry L11030783) doing commercial, multifamily, and custom-home construction and remodels — a plausible vendor for Arizona Senate/House building repair and capital improvement work."
IV0000082936,KHAN ACADEMY INC,1900000,1900000,2,1,1500000,1,1,10.5,1,DEPT OF EDUCATION,2025,0.00024147990384675675,round_100k|new_vendor_large,,,,
IV0000004732,AXON ENTERPRISE INC,21607299,13253685,10,1,1419108,4,1,9.8,4,DEPT OF CORRECTIONS,2021,0.006305732140807625,peer_outlier|whole_dollar,,,,
PZ000001037,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,5184289,5184289,14,1,1414500,0,1,6.5,1,DEPT OF TRANSPORTATION,2017,0.0011837406953760878,offcontract|whole_dollar|no_contract_named,,,,
IV0000057058,ALLIANT INSURANCE SERVICES,10096037,6231865,12,1,1380587,9,1,11.2,1,DEPT OF ADMINISTRATION,2024,0.0033141083586834324,offcontract|whole_dollar|new_vendor_large,,,,
IV0000010858,ADANI SYSTEMS INC,5898733,5898733,9,1,1321020,6,1,12.0,1,DEPT OF CORRECTIONS,2023,0.003599024694434808,new_vendor_large|peer_outlier|whole_dollar,,,,
PZ000029558,CLEAR TITLE AGENCY LLC,2052489,2052489,2,1,1277750,0,1,6.5,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,2016,0.017315412591564588,offcontract|whole_dollar|no_contract_named,,,,
IV0000009391,LAKEWOOD COMMUNITY,1489390,1489390,2,1,1273000,1,1,16.9,1,DEPT OF TRANSPORTATION,2021,0.00038594496483244245,person_name_payee|new_vendor_large|offcontract|whole_dollar|no_contract_named,,,,
IV0000078491,SCRS ACQUISITION CORPORATION,1249290,1249290,1,1,1249290,0,1,14.0,1,DEPT OF CORRECTIONS,2025,0.0006234064417534016,whole_dollar|new_vendor_large|peer_outlier,,,,
PZ000006418,"XEROX STATE HEALTHCARE, LLC",43295415,10419320,29,1,1239874,0,1,7.5,1,DEPT OF ECONOMIC SECURITY,2016,0.004298243339864673,offcontract|whole_dollar|no_contract_named,,,,
VC0000060640,LCO OUTDOOR ADVERTISING LLC,1387700,1387700,2,1,1229500,1,1,10.4,1,DEPT OF TRANSPORTATION,2021,0.0003592804064798491,offcontract|whole_dollar|new_vendor_large|no_contract_named,,,,
PZ000047335,DOE - WESTERN AREA POWER ADMINISTRATION,2891603,2891603,2,1,1217399,1,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.0004919751847315187,whole_dollar|offcontract|no_contract_named,,,,
VC0000006259,BHG STRUCTURED SETTLEMENTS INC,2550924,1200000,1,1,1200000,0,1,8.4,1,DEPT OF ADMINISTRATION,2016,0.001605942013512955,round_100k|offcontract,,,,
PZ9000000006,MOTOROLA SOLUTIONS INC,9273855,6073232,9,1,1198842,1,1,6.0,3,DEPT OF PUBLIC SAFETY,2016,0.011915229942676249,offcontract|whole_dollar|peer_outlier,,,,
IV0000007655,KIEWIT INFRASTRUCTURE WEST CO,41452856,41452856,43,1,1179250,1,1,13.5,1,DEPT OF TRANSPORTATION,2021,0.00424225018072404,offcontract|no_contract_named|whole_dollar|peer_outlier,,,,
IV0000003446,TEACHING STRATEGIES LLC,2699576,2453320,3,1,1161950,1,1,9.8,1,DEPT OF EDUCATION,2023,0.00022854537586384127,whole_dollar|peer_outlier,,,,
IV0000003577,COLLEGE BOARD,2192244,2192244,3,1,1158064,2,1,12.0,1,DEPT OF EDUCATION,2021,0.00015573339756194717,person_name_payee|whole_dollar|offcontract|new_vendor_large,,,,
IV0000003543,TECHNICAL ASSISTANCE PARTNERSHIP OF ARIZONA,5317689,3911495,16,1,1149786,1,1,13.5,2,DEPT OF VETERANS SERVICES,2021,0.042937793626796686,offcontract|whole_dollar|peer_outlier|no_contract_named,,,,
IV0000081287,COMMUNITY INVESTMENT CORPORATION,1140000,1140000,1,1,1140000,0,1,7.5,1,OFFICE OF ECONOMIC OPPORTUNITY,2024,0.03794444229146717,offcontract|no_contract_named|new_vendor_large,,,,
PZ000060683,RETECH SYSTEMS LLC,1762589,1762589,2,1,1117200,1,1,10.4,1,DEPT OF TRANSPORTATION,2018,0.0005625873056390177,new_vendor_large|offcontract|no_contract_named|whole_dollar,,,,
VC0000060049,UNITED FIRE & CASUALITY,1113283,1113283,1,1,1113283,0,1,6.5,1,DEPT OF TRANSPORTATION,2021,0.0003056552853870221,no_contract_named|offcontract|new_vendor_large,,,,
VC0000003713,HYMSON GOLDSTEIN PANTILIAT & LOHR PLLC,1100000,1100000,1,1,1100000,0,1,14.3,1,DEPT OF TRANSPORTATION,2023,0.0002445196348139924,round_100k|new_vendor_large|no_contract_named|offcontract,,,,
VC0000054114,APPLIED TRAINING SYSTEMS INC,1096000,1096000,1,1,1096000,0,1,10.5,1,DEPT OF HOUSING,2024,0.002142586844076546,peer_outlier|whole_dollar,,,,
PZ000009821,NESBITT CONTRACTING CO INC,14125916,10458692,31,1,1078875,0,1,9.8,1,DEPT OF TRANSPORTATION,2016,0.0037696542870806,offcontract|whole_dollar|no_contract_named|peer_outlier,,,,
PZ000003666,"WORLDWIDE INTERACTIVE NETWORK\, INC.",2221645,2221645,4,1,1069470,3,1,12.0,1,OFFICE OF ECONOMIC OPPORTUNITY,2018,0.1670700262733652,whole_dollar|new_vendor_large|new_vendor_dominant|short_tenure_vendor,,,,
PZ000003665,THE GEO GROUP INC,77420100,77420100,172,1,1048730,44,1,7.5,1,DEPT OF CORRECTIONS,2016,0.037353505941938536,whole_dollar|offcontract|no_contract_named,,,,
VC0000031806,LARON INCORPORATED,13343747,13343747,29,1,1045738,6,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.0025764259703052682,offcontract|whole_dollar|no_contract_named,,,,
VC0000000776,LAMAR CENTRAL OUTDOOR,1045000,1045000,1,1,1045000,0,1,10.4,1,DEPT OF TRANSPORTATION,2021,0.00028147990050075085,no_contract_named|offcontract|whole_dollar|new_vendor_large,,,,
PZ000010110,FANN CONTRACTING INC,109784308,70286188,97,1,1043430,0,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.01325816572505043,offcontract|no_contract_named|whole_dollar,,,,
IV0000017135,TREND OFFSET PRINTING,1807726,1042443,1,1,1042443,0,1,6.0,2,CITIZENS CLEAN ELECTION COMMISSION,2021,0.10948836167719107,peer_outlier,,,,
PZ000015555,CHICAGO TITLE INSURANCE COMPANY,3202724,3202724,4,1,1042019,3,1,11.7,1,DEPT OF TRANSPORTATION,2018,0.0010259782627809078,offcontract|short_tenure_vendor|whole_dollar|no_contract_named,,,,
IV0000000760,WSP USA INC,47307429,47144938,136,1,1002250,11,1,9.0,1,DEPT OF TRANSPORTATION,2021,0.005183345667797705,offcontract|peer_outlier|whole_dollar|no_contract_named,,,,
IV0000004798,HEALTH CURRENT,11348834,6854237,23,1,1000000,5,1,10.5,2,AHCCCS,2021,0.001892452766638098,whole_dollar|offcontract|true_duplicate|round_100k|round_1m,,,,
IV0000003263,ARIZONA BROADCASTORS ASSN,3354000,2904000,9,1,1000000,4,1,10.5,4,DEPT OF EDUCATION,2021,0.0035041004668293794,round_100k|whole_dollar|june_round|round_1m,,,,
IV0000001365,CORECIVIC INC,434472431,20169913,14,1,1000000,9,1,9.1,2,DEPT OF CORRECTIONS,2021,0.07899573666811706,whole_dollar|offcontract|round_1m|no_contract_named,,,,
IV0000004618,VALLEY OF THE SUN-UNITED WAY,294529322,8095218,12,1,1000000,1,1,7.5,2,EARLY CHILDHOOD DEVELOP AND HEALTH BOARD,2021,0.3837809963017468,whole_dollar|round_1m,,,,
PZ000010983,MARICOPA COUNTY,1254005151,41441975,32,1,1000000,8,1,6.5,19,DEPT OF EDUCATION,2016,0.23353929788637176,whole_dollar|round_1m,false_positive_marker,2,suppress_marker,
PZ000046989,ADAMAN IRRIGATION WATER DELIVERY DISTRIT,2400000,2400000,2,1,1000000,1,1,6.5,1,DEPT OF TRANSPORTATION,2016,0.0006896923760332093,round_1m|round_100k,,,,
VC0000040900,VICTOR DAD,424350,424350,2,0,,2,2,19.5,1,DEPT OF TRANSPORTATION,2018,0.00014317810671543785,offcontract|person_name_payee|new_vendor_large|true_duplicate|whole_dollar,,,,
VC0000083776,IRCS CENTER FOR ECONOMIC OPPORTUNITY INC,600000,600000,1,0,,1,2,18.0,1,OFFICE OF ECONOMIC OPPORTUNITY,2025,0.025335132221179526,new_vendor_large|round_100k|june_round|offcontract,genuine_review,3,keep,IRCS (Inter Tribal/community-style economic opportunity nonprofit) appears to be a private nonprofit intermediary funded under Arizona's Microbusiness Loan Fund administered by the Office of Economic Opportunity; the fund makes discretionary grants to CDFI-type intermediaries to capitalize microbusiness lending.
MISCCUSTOM,MISCELLANEOUS CUSTOMER,7436873,3056933,12,0,,12,2,18.0,5,LAND DEPARTMENT,2016,0.045857049578248515,offcontract|masked_payee|round_100k|whole_dollar|true_duplicate,false_positive_marker,2,suppress_marker,
VC0000071561,ALWAYS AVAILABLE DAIRY SERVICE LLC,3458817,3458817,15,0,,13,2,16.9,1,DEPT OF TRANSPORTATION,2023,0.0008128497893939288,offcontract|short_tenure_vendor|new_vendor_large|whole_dollar|true_duplicate,,,,
IV0000061961,PROVIDENT LAW,325000,325000,1,0,,1,2,16.9,1,DEPT OF TRANSPORTATION,2023,7.328857376330775e-05,person_name_payee|offcontract|new_vendor_large|whole_dollar,,,,
IV0000036185,HONEYWELL SAFETY PRODUCTS USA INC,4847544,4847544,17,0,,17,2,16.8,1,DEPT OF HEALTH SERVICES,2021,0.003755336432787299,new_vendor_large|offcontract|whole_dollar|true_duplicate,,,,
IV0000057599,JAMES ADAMS,283000,283000,1,0,,1,2,16.5,1,LAND DEPARTMENT,2025,0.009592600055449634,person_name_payee|new_vendor_large|offcontract|whole_dollar,,,,
IV0000032004,CAMBIUM ASSESSMENT INC,11569627,9669627,13,0,,10,2,16.5,1,DEPT OF EDUCATION,2021,0.0023075991225263294,whole_dollar|round_100k|true_duplicate|june_round,,,,
IV0000081242,WESTERN AREA POWER ADMINISTRATION,510000,510000,2,0,,1,2,15.6,1,DEPT OF TRANSPORTATION,2024,8.313423844047783e-05,offcontract|new_vendor_large|june_round|round_100k,,,,
