entity_name,names_merged,n_vendor_ids,hv_txn,hv_exposure,n_flagged,flagged_exposure,n_tier1,usd_tier1,n_tier2,top_tier,max_risk_score,first_year,last_year,n_agencies,agencies,top_markers,verify_verdict,overtaker_interest,public_context,entity_key
WESTERN STATES AIR RESOURCES COUNCIL,1,1,1,200000,1,200000,0,,1,2,10.5,2018,2018,1,DEPT OF ENVIRONMENTAL QUALITY,round_100k|new_vendor_large,,,,WESTERN STATES AIR RESOURCES COUNCIL
ASR ANALYTICS LLC,2,2,104,26757459,10,4541604,0,,7,2,10.5,2016,2025,1,DEPT OF REVENUE,round_100k|whole_dollar|june_round|offcontract,,,,ASR ANALYTICS LLC
NEPC LLC,2,1,27,2775000,27,2775000,0,,24,2,10.5,2019,2025,1,ARIZONA STATE RETIREMENT SYSTEM (ASRS),round_100k|june_round|whole_dollar,,,,NEPC LLC
AEG MANAGEMENT GLENDALE LLC,1,1,5,1060000,5,1060000,0,,2,2,10.5,2021,2022,1,DEPT OF HEALTH SERVICES,new_vendor_large|whole_dollar|round_100k,,,,AEG MANAGEMENT GLENDALE LLC
VALLEY OF THE SUN YOUNG MENS CHRISTIAN ASSOCIATION,1,1,56,27197156,8,3797900,0,,7,2,10.5,2020,2025,5,DEPT OF HEALTH SERVICES|DEPT OF EDUCATION|GOVERNOR'S OFFICE|DEPT OF HOUSING|DEPT OF ECONOMIC SECURITY,whole_dollar|offcontract|true_duplicate,,,,VALLEY OF THE SUN YOUNG MENS CHRISTIAN ASSOCIATION
GUIDESOFT INC,2,2,145,23109210,52,8427758,0,,6,2,10.5,2016,2025,17,DEPT OF ECONOMIC SECURITY|REGISTRAR OF CONTRACTORS|AHCCCS|INDUSTRIAL COMMISSION|DEPT OF REVENUE|DEPT OF ADMINISTRATION|LAND DEPARTMENT|DEPT OF ENVIRONMENTAL QUALITY|DEPT OF EDUCATION|DEPT OF CHILD SAFETY|DEPT OF VETERANS SERVICES|DEPT OF FINANCIAL INSTITUTIONS|ARIZONA STATE RETIREMENT SYSTEM (ASRS)|DEPT OF HEALTH SERVICES|DEPT OF WATER RESOURCES|SECRETARY OF STATE (DEPT OF STATE)|DEPT OF TRANSPORTATION,whole_dollar|offcontract|round_100k|june_round,,,,GUIDESOFT INC
ARNALL GOLDEN GREGORY LLP,1,1,3,577719,3,577719,0,,2,2,10.5,2021,2021,1,DEPT OF HOUSING,new_vendor_large|true_duplicate,,,,ARNALL GOLDEN GREGORY LLP
MACHINERY EXCHANGE CORPORATION,1,1,2,227027,2,227027,0,,2,2,10.4,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|whole_dollar,,,,MACHINERY EXCHANGE CORPORATION
THE FOOTHILLS COMMUNITY ASSOCIATION,1,1,1,600000,1,600000,0,,1,2,10.4,2021,2021,1,DEPT OF TRANSPORTATION,round_100k|offcontract,,,,THE FOOTHILLS COMMUNITY ASSOCIATION
VH TRUCKING LLC,1,1,1,594000,1,594000,0,,1,2,10.4,2023,2023,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|new_vendor_large,,,,VH TRUCKING LLC
THOMPSON RANCH PARTNERSHIP,1,1,1,148608,1,148608,0,,1,2,10.4,2017,2017,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|new_vendor_large,,,,THOMPSON RANCH PARTNERSHIP
MARTIN KERRICK AND BELL LLC,1,1,9,4389577,6,2774631,0,,2,2,10.4,2017,2023,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|new_vendor_large,,,,MARTIN KERRICK AND BELL LLC
"INVESTMENT CASTING EQUIPMENT, LTD",1,1,2,324920,2,324920,0,,2,2,10.4,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|whole_dollar,,,,"INVESTMENT CASTING EQUIPMENT, LTD"
MOUNTAIN HIGH EXCAVATING,1,1,3,515897,3,515897,0,,2,2,10.4,2021,2022,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|whole_dollar,,,,MOUNTAIN HIGH EXCAVATING
OSPREY PROPERTIES LLC,1,1,1,276299,1,276299,0,,1,2,10.4,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|new_vendor_large,,,,OSPREY PROPERTIES LLC
WILLIAM CHARLES WATT,1,1,3,1528915,3,1528915,0,,3,2,10.4,2022,2022,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|whole_dollar,,,,WILLIAM CHARLES WATT
CXT INC,1,1,13,4075198,13,4075198,0,,2,2,10.4,2025,2025,2,PARKS BOARD|DEPT OF ADMINISTRATION,new_vendor_large|short_tenure_vendor|true_duplicate,,,,CXT INC
"CAPITAL ACTIVE FUNDING-PHOENIX, INC.",1,1,1,202500,1,202500,0,,1,2,10.4,2017,2017,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract|whole_dollar,,,,"CAPITAL ACTIVE FUNDING-PHOENIX, INC."
"XPO LOGISTICS SUPPLY CHAIN, INC.",1,1,6,2352007,2,983464,0,,1,2,10.4,2019,2021,1,DEPT OF TRANSPORTATION,round_100k|offcontract|whole_dollar,,,,"XPO LOGISTICS SUPPLY CHAIN, INC."
WILLIAMS SCOTSMAN,1,1,1,127530,1,127530,0,,1,2,10.4,2017,2017,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|person_name_payee,,,,WILLIAMS SCOTSMAN
"DAN DI DE ANTONI\, SRL",1,1,3,1012156,3,1012156,0,,3,2,10.4,2018,2018,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar|new_vendor_large,,,,"DAN DI DE ANTONI\, SRL"
BUCKEYE PARKING LIMITED PARTNERSHIP,1,1,1,115600,1,115600,0,,1,2,10.4,2018,2018,1,DEPT OF TRANSPORTATION,whole_dollar|new_vendor_large|offcontract,,,,BUCKEYE PARKING LIMITED PARTNERSHIP
PRO BOX PORTABLE STORAGE,1,1,1,293861,1,293861,0,,1,2,10.4,2021,2021,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large|whole_dollar,,,,PRO BOX PORTABLE STORAGE
AMERICAN FENCE COMPANY OF ARIZONA INC,1,1,53,12119732,28,6064450,0,,4,2,10.4,2020,2025,5,DEPT OF PUBLIC SAFETY|GAME AND FISH DEPARTMENT|DEPT OF TRANSPORTATION|DEPT OF ADMINISTRATION|DEPT OF CORRECTIONS,whole_dollar|offcontract|true_duplicate|round_100k,,,,AMERICAN FENCE COMPANY OF ARIZONA INC
K HOVNANIAN AT VENTANA LAKES LLC,1,1,1,142030,1,142030,0,,1,2,10.4,2021,2021,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract|new_vendor_large,,,,K HOVNANIAN AT VENTANA LAKES LLC
THE SJ ANDERSON CO,2,2,328,78426464,61,16698483,0,,4,2,9.8,2016,2025,16,PIONEERS' HOME|DEPT OF HEALTH SERVICES|ARIZONA HISTORICAL SOCIETY|DEPT OF JUVENILE CORRECTIONS|DEPT OF CORRECTIONS|DEPT OF TRANSPORTATION|HOUSE OF REPRESENTATIVES|EXPOSITION AND STATE FAIR BOARD|DEPT OF ECONOMIC SECURITY|DEPT OF EMERGENCY AND MILITARY AFFAIRS|GAME AND FISH DEPARTMENT|DEPT OF PUBLIC SAFETY|LOTTERY COMMISSION|LEGISLATIVE COUNCIL|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|DEPT OF ADMINISTRATION,offcontract|whole_dollar|round_100k|true_duplicate|june_round,,,,THE SJ ANDERSON CO
DOEGE DEVELOPMENT,1,1,6,1036776,5,883414,0,,2,2,9.8,2021,2022,1,DEPT OF ADMINISTRATION,new_vendor_large|true_duplicate,,,,DOEGE DEVELOPMENT
ANDERSON ENTERPRISES,1,2,120,16184456,50,6584610,0,,5,2,9.8,2018,2023,1,DEPT OF TRANSPORTATION,whole_dollar|true_duplicate|offcontract,,,,ANDERSON ENTERPRISES
INTRESYS INC,1,1,4,1130500,4,1130500,0,,2,2,9.8,2021,2023,1,SUPREME COURT,whole_dollar|true_duplicate|new_vendor_large,,,,INTRESYS INC
ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC,1,2,29,9970749,11,4318235,0,,1,2,9.8,2016,2025,5,DEPT OF TRANSPORTATION|GAME AND FISH DEPARTMENT|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF FORESTRY AND FIRE MANAGEMENT|LAND DEPARTMENT,whole_dollar|peer_outlier,,,,ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE INC
STRATEGIC MARKET SOLUTIONS INC,1,1,14,2926206,8,1436934,0,,4,2,9.8,2023,2025,2,EXPOSITION AND STATE FAIR BOARD|OFFICE OF TOURISM,whole_dollar|true_duplicate|round_100k|june_round,,,,STRATEGIC MARKET SOLUTIONS INC
POLLARD BANKNOTE LIMITED,1,2,324,70776165,51,8683053,0,,4,2,9.8,2016,2025,1,LOTTERY COMMISSION,whole_dollar|true_duplicate|offcontract|round_100k,,,,POLLARD BANKNOTE LIMITED
SCIENTIFIC TECHNOLOGIES CORP,2,2,13,3514242,9,1952664,0,,2,2,9.8,2016,2025,1,DEPT OF HEALTH SERVICES,true_duplicate|whole_dollar|june_round|round_100k|offcontract,,,,SCIENTIFIC TECHNOLOGIES CORP
DAVIDSON & BELLUSO,1,2,22,5579677,10,1916002,0,,4,2,9.8,2016,2025,4,DEPT OF GAMING|STATE TREASURER|COMMISSION FOR POSTSECONDARY EDUCATION|ATTORNEY GENERAL (DEPT OF LAW),whole_dollar|round_100k|june_round,,,,DAVIDSON & BELLUSO
"OWENS\, HARKEY & ASSOCIATES\, LLC",1,1,70,13185139,8,2195810,0,,3,2,9.8,2018,2018,2,DEPT OF HEALTH SERVICES|LOTTERY COMMISSION,whole_dollar|true_duplicate|round_100k|offcontract|june_round,,,,"OWENS\, HARKEY & ASSOCIATES\, LLC"
SES AMERICA INC,1,2,25,4486358,13,1977130,0,,2,2,9.8,2016,2024,1,DEPT OF TRANSPORTATION,whole_dollar|true_duplicate|offcontract,,,,SES AMERICA INC
PCARD VENDOR CLA,1,1,1,100000,1,100000,0,,1,2,9.8,2022,2022,1,EXPOSITION AND STATE FAIR BOARD,round_100k|masked_payee,,,,PCARD VENDOR CLA
REYES & SONS LANDSCAPING LLC,1,1,4,420992,4,420992,0,,2,2,9.8,2024,2025,1,DEPT OF TRANSPORTATION,whole_dollar|true_duplicate,,,,REYES & SONS LANDSCAPING LLC
PREMIER MEDICAL DISTRIBUTION,1,1,4,2267084,4,2267084,0,,3,2,9.8,2021,2021,1,DEPT OF HEALTH SERVICES,new_vendor_large|true_duplicate,,,,PREMIER MEDICAL DISTRIBUTION
NEC CORP OF AMERICA,1,1,7,1572870,7,1572870,0,,4,2,9.8,2023,2024,1,DEPT OF TRANSPORTATION,whole_dollar|true_duplicate|offcontract,,,,NEC CORP OF AMERICA
HOLOGIC INCORPORATED,1,1,1,215000,1,215000,0,,1,2,9.6,2021,2021,1,DEPT OF HEALTH SERVICES,new_vendor_large|whole_dollar|offcontract,,,,HOLOGIC INCORPORATED
BUSINESS AND DECISION NORTH AMERICA PA INC,1,2,62,16168377,30,10585798,0,,8,2,9.6,2016,2023,3,DEPT OF ADMINISTRATION|DEPT OF CORRECTIONS|GOVERNOR'S OFFICE,whole_dollar|peer_outlier|offcontract|round_100k,,,,BUSINESS AND DECISION NORTH AMERICA PA INC
MOTOR COACH INDUSTRIES INC,1,1,5,3317250,5,3317250,0,,3,2,9.6,2022,2025,1,DEPT OF CORRECTIONS,peer_outlier|true_duplicate|new_vendor_large,,,,MOTOR COACH INDUSTRIES INC
WSD DIGITAL,1,1,11,2057872,11,2057872,0,,5,2,9.6,2024,2025,1,CORPORATION COMMISSION,offcontract|true_duplicate|whole_dollar|new_vendor_large,,,,WSD DIGITAL
HAUSER BUILT INC,1,1,1,185000,1,185000,0,,1,2,9.6,2025,2025,1,DEPT OF CORRECTIONS,offcontract|whole_dollar|new_vendor_large,,,,HAUSER BUILT INC
MESA ENERGY SYSTEMS INC,1,1,39,10735521,31,9526824,0,,3,2,9.1,2022,2025,4,DEPT OF ADMINISTRATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS|INDUSTRIAL COMMISSION|DEPT OF HEALTH SERVICES,whole_dollar|true_duplicate|peer_outlier|offcontract|round_100k,,,,MESA ENERGY SYSTEMS INC
GREAT AMERICAN TITLE AGENCY,1,2,2,279890,2,279890,0,,2,2,9.1,2018,2021,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,GREAT AMERICAN TITLE AGENCY
NAVI TITLE AGENCY PLLC,1,1,1,146971,1,146971,0,,1,2,9.1,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,NAVI TITLE AGENCY PLLC
CARLOS ARTURO CARRANZA,1,1,1,161725,1,161725,0,,1,2,9.1,2022,2022,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,CARLOS ARTURO CARRANZA
M D MERRETT INC,1,2,25,3279191,3,384400,0,,2,2,9.1,2016,2025,1,GAME AND FISH DEPARTMENT,whole_dollar|true_duplicate|round_100k,,,,M D MERRETT INC
BOWEN PROPERTY LLC,1,1,1,379275,1,379275,0,,1,2,9.1,2021,2021,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,BOWEN PROPERTY LLC
LANDMARK TITLE ASSURANCE AGENCY,1,1,3,1185960,3,1185960,0,,3,2,9.1,2020,2022,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,LANDMARK TITLE ASSURANCE AGENCY
CONCORD GENERAL CONTRACTING,1,1,69,30009299,8,5596255,0,,4,2,9.1,2022,2025,1,DEPT OF ADMINISTRATION,new_vendor_large|whole_dollar|round_100k,,,,CONCORD GENERAL CONTRACTING
WARNER ANGLE HALLAM JACKSON & FORMANEK PLC,1,1,1,364900,1,364900,0,,1,2,9.1,2023,2023,1,DEPT OF TRANSPORTATION,offcontract|new_vendor_large,,,,WARNER ANGLE HALLAM JACKSON & FORMANEK PLC
WFG NATIONAL TITLE INSURANCE COMPANY,1,1,1,104448,1,104448,0,,1,2,9.1,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,WFG NATIONAL TITLE INSURANCE COMPANY
UDALL LAW FIRM LLP,1,1,1,385160,1,385160,0,,1,2,9.1,2021,2021,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,UDALL LAW FIRM LLP
STUBBS & SCHUBART PC,1,1,13,5365568,12,4444348,0,,4,2,9.1,2018,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,STUBBS & SCHUBART PC
JACQUELYNN J. SCHUCK-POWELL TRUST,1,1,1,798349,1,798349,0,,1,2,9.1,2022,2022,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,JACQUELYNN J. SCHUCK-POWELL TRUST
SABRE INDUSTRIES,1,1,15,2102831,15,2102831,0,,10,2,9.1,2025,2025,1,DEPT OF PUBLIC SAFETY,whole_dollar|true_duplicate,,,,SABRE INDUSTRIES
INTERSTATE MECHANICAL CORP,3,2,58,10015714,12,1945692,0,,2,2,9.1,2016,2025,8,DEPT OF TRANSPORTATION|DEPT OF VETERANS SERVICES|DEPT OF CORRECTIONS|DEPT OF JUVENILE CORRECTIONS|DEPT OF ADMINISTRATION|DEPT OF EMERGENCY AND MILITARY AFFAIRS|DEPT OF PUBLIC SAFETY|DEPT OF ECONOMIC SECURITY,whole_dollar|true_duplicate,,,,INTERSTATE MECHANICAL CORP
ETHAN STEELE PC,1,1,3,451474,3,451474,0,,1,2,9.1,2019,2021,1,DEPT OF TRANSPORTATION,whole_dollar|offcontract,,,,ETHAN STEELE PC
CLEAR CHANNEL OUTDOOR,1,2,7,2503878,7,2503878,0,,3,2,9.1,2018,2025,1,DEPT OF TRANSPORTATION,offcontract|whole_dollar,,,,CLEAR CHANNEL OUTDOOR
TERRA MOBILE RANCHETTES ESTATES,1,1,1,110000,1,110000,0,,1,2,9.1,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,TERRA MOBILE RANCHETTES ESTATES
NETCO INC,1,1,1,137076,1,137076,0,,1,2,9.1,2023,2023,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,NETCO INC
TITLE SERVICES OF THE VALLEY AGENCY LLC,1,1,1,170885,1,170885,0,,1,2,9.1,2025,2025,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,TITLE SERVICES OF THE VALLEY AGENCY LLC
FEMCON INC.,1,1,1,786965,1,786965,0,,1,2,9.1,2021,2021,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,FEMCON INC.
"ALDRIDGE PITE, LLP",1,1,1,232895,1,232895,0,,1,2,9.1,2022,2022,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,"ALDRIDGE PITE, LLP"
RICSAT INVESTMENT LLC,1,1,1,161670,1,161670,0,,1,2,9.1,2024,2024,1,DEPT OF TRANSPORTATION,new_vendor_large|offcontract,,,,RICSAT INVESTMENT LLC
PIONEER TITLE AGENCY INC,1,1,29,42214468,10,4629366,0,,2,2,9.1,2019,2025,5,DEPT OF TRANSPORTATION|ARIZONA FINANCE AUTHORITY|WATER INFRASTRUCTURE FINANCE AUTHORITY OF ARIZONA|GAME AND FISH DEPARTMENT|DEPT OF PUBLIC SAFETY,whole_dollar|offcontract|peer_outlier,,,,PIONEER TITLE AGENCY INC
BERRY DUNN MCNEIL & PARKER LLC,1,2,4,482480,4,482480,0,,1,2,9.0,2018,2024,3,DEPT OF AGRICULTURE|DEPT OF ECONOMIC SECURITY|DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,BERRY DUNN MCNEIL & PARKER LLC
JONES LANG LASALLE AMERICAS INC,1,1,2,1000000,2,1000000,0,,2,2,9.0,2024,2024,1,LAND DEPARTMENT,offcontract|round_100k,,,,JONES LANG LASALLE AMERICAS INC
WEST FOREST INCORPORATED,1,1,1,182850,1,182850,0,,1,2,9.0,2025,2025,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,whole_dollar|new_vendor_large,,,,WEST FOREST INCORPORATED
PARADIGM LABORATORIES,1,1,54,10939810,54,10939810,0,,20,2,9.0,2021,2022,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,PARADIGM LABORATORIES
GUIDEHOUSE LLP,2,2,45,7695732,34,5087706,0,,3,2,9.0,2021,2024,3,GOVERNOR'S OFFICE|DEPT OF HOUSING|DEPT OF EMERGENCY AND MILITARY AFFAIRS,whole_dollar|new_vendor_large,,,,GUIDEHOUSE LLP
FALCON CORRECTIONAL AND COMMUNITY SERVICES INC,1,1,2,363780,2,363780,0,,2,2,9.0,2024,2024,1,DEPT OF CORRECTIONS,new_vendor_large|whole_dollar,,,,FALCON CORRECTIONAL AND COMMUNITY SERVICES INC
MILLER TIMBER SERVICES INC,1,1,4,571995,3,452745,0,,3,2,9.0,2022,2023,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,new_vendor_large|whole_dollar,,,,MILLER TIMBER SERVICES INC
"JOURNEYAGE, LLC",1,1,6,1650229,6,1650229,0,,5,2,9.0,2022,2023,1,GOVERNOR'S OFFICE,whole_dollar|new_vendor_large,,,,"JOURNEYAGE, LLC"
JOBPATH INC,1,1,3,992953,2,242955,0,,2,2,9.0,2022,2024,2,GOVERNOR'S OFFICE|OFFICE OF ECONOMIC OPPORTUNITY,true_duplicate|offcontract,,,,JOBPATH INC
JOANNE BOALER,1,1,1,167296,1,167296,0,,1,2,9.0,2023,2023,1,GOVERNOR'S OFFICE,person_name_payee|new_vendor_large,,,,JOANNE BOALER
VALLEYWISE COMMUNITY HEAL,1,1,3,360159,3,360159,0,,2,2,9.0,2024,2024,1,DEPT OF CHILD SAFETY,offcontract|true_duplicate,,,,VALLEYWISE COMMUNITY HEAL
US ARMY FORT HUACHUCA,1,1,8,1441888,7,1201888,0,,5,2,9.0,2016,2025,1,DEPT OF EMERGENCY AND MILITARY AFFAIRS,offcontract|round_100k|whole_dollar,,,,US ARMY FORT HUACHUCA
SRP - SALT RIVER PROJECT,1,1,1,100000,1,100000,0,,1,2,9.0,2017,2017,1,DEPT OF ADMINISTRATION,round_100k|offcontract,,,,SRP - SALT RIVER PROJECT
"NORTHWEST PROFESSIONAL CONSORTIUM, INC.",1,1,1,142220,1,142220,0,,1,2,9.0,2025,2025,1,SUPREME COURT,new_vendor_large|whole_dollar,,,,"NORTHWEST PROFESSIONAL CONSORTIUM, INC."
OASIS BEHAVIORAL HEALTH H,1,1,4,1362256,4,1362256,0,,2,2,9.0,2025,2025,1,DEPT OF CHILD SAFETY,offcontract|true_duplicate,,,,OASIS BEHAVIORAL HEALTH H
SONORA BEHAVIORAL HEALTH,1,2,16,2458626,8,1426772,0,,2,2,9.0,2020,2025,2,AHCCCS|DEPT OF CHILD SAFETY,offcontract|true_duplicate,,,,SONORA BEHAVIORAL HEALTH
RADIANT HILLS HEALTH ASSOCIATES LLC,1,1,5,742000,5,742000,0,,3,2,9.0,2021,2022,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,RADIANT HILLS HEALTH ASSOCIATES LLC
COMMONWEALTH OF PENNSYLVANIA,1,1,1,100000,1,100000,0,,1,2,9.0,2025,2025,1,ATTORNEY GENERAL (DEPT OF LAW),offcontract|round_100k,,,,COMMONWEALTH OF PENNSYLVANIA
ENSIGN SABINO LLC,1,1,3,331000,3,331000,0,,2,2,9.0,2021,2022,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,ENSIGN SABINO LLC
RCLCO FUND ADVISORS LLC,1,1,80,11898816,26,4227596,0,,3,2,9.0,2021,2025,1,ARIZONA STATE RETIREMENT SYSTEM (ASRS),whole_dollar|new_vendor_large,,,,RCLCO FUND ADVISORS LLC
Q-FREE AMERICA INC,1,1,1,214500,1,214500,0,,1,2,9.0,2023,2023,1,DEPT OF TRANSPORTATION,whole_dollar|new_vendor_large,,,,Q-FREE AMERICA INC
GLENDALE HEALTHCARE ASSOCIATES LLC,1,1,3,760500,3,760500,0,,3,2,9.0,2021,2021,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,GLENDALE HEALTHCARE ASSOCIATES LLC
WILDLIFE AND WETLANDS SOLUTIONS,1,1,4,600599,4,600599,0,,2,2,9.0,2025,2025,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,new_vendor_large|whole_dollar,,,,WILDLIFE AND WETLANDS SOLUTIONS
ENVIRONMENTAL TECHNOLOGY INC,1,1,11,1364272,3,454001,0,,1,2,9.0,2023,2025,1,DEPT OF ENVIRONMENTAL QUALITY,new_vendor_large|whole_dollar,,,,ENVIRONMENTAL TECHNOLOGY INC
HEART AND SOUL MARKETING LLC,1,1,20,6283569,7,1704505,0,,2,2,9.0,2023,2025,4,DEPT OF EDUCATION|DEPT OF HEALTH SERVICES|OFFICE OF TOURISM|LOTTERY COMMISSION,whole_dollar|round_100k|new_vendor_large,,,,HEART AND SOUL MARKETING LLC
CHERWELL SOFTWARE INC,1,1,1,100650,1,100650,0,,1,2,9.0,2017,2017,1,DEPT OF CORRECTIONS,whole_dollar|new_vendor_large,,,,CHERWELL SOFTWARE INC
KATHLEEN MALLOCH,1,1,1,104167,1,104167,0,,1,2,9.0,2023,2023,1,BOARD OF NURSING,new_vendor_large|person_name_payee,,,,KATHLEEN MALLOCH
SOLARI,2,2,210,47305334,92,14130899,0,,5,2,9.0,2022,2025,4,DEPT OF HEALTH SERVICES|AHCCCS|DEPT OF ECONOMIC SECURITY|DEPT OF HOUSING,offcontract|true_duplicate|whole_dollar,,,,SOLARI
"RED PONY TOURS, INC.",1,1,1,100000,1,100000,0,,1,2,9.0,2016,2016,1,EXPOSITION AND STATE FAIR BOARD,offcontract|round_100k,,,,"RED PONY TOURS, INC."
LIFEPOINT HEALTH,1,1,4,495801,1,107730,0,,1,2,9.0,2024,2025,1,BOARD OF NURSING,new_vendor_large|whole_dollar,,,,LIFEPOINT HEALTH
SANDERS FARMS,1,1,1,164700,1,164700,0,,1,2,9.0,2025,2025,1,GAME AND FISH DEPARTMENT,new_vendor_large|whole_dollar,,,,SANDERS FARMS
STANLEY CONSULTANTS INC,1,2,109,26944715,65,16528419,0,,6,2,9.0,2016,2025,1,DEPT OF TRANSPORTATION,offcontract|true_duplicate|whole_dollar|peer_outlier,,,,STANLEY CONSULTANTS INC
NEW PATHWAYS FOR YOUTH,1,1,4,531990,3,375000,0,,1,2,9.0,2022,2024,2,DEPT OF EDUCATION|GOVERNOR'S OFFICE,whole_dollar|new_vendor_large,,,,NEW PATHWAYS FOR YOUTH
EDUCATORS FOR ACADEMIC EXCELLENCE,1,1,9,1575000,8,1325000,0,,4,2,9.0,2023,2025,1,DEPT OF EDUCATION,whole_dollar|round_100k|new_vendor_large,,,,EDUCATORS FOR ACADEMIC EXCELLENCE
SOUTHERN SIERRA RESEARCH STATION,1,1,1,124263,1,124263,0,,1,2,9.0,2022,2022,1,GAME AND FISH DEPARTMENT,whole_dollar|new_vendor_large,,,,SOUTHERN SIERRA RESEARCH STATION
CUSTOM DATA PROCESSING INC,2,2,6,1017418,6,1017418,0,,2,2,9.0,2017,2025,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,CUSTOM DATA PROCESSING INC
"FUGRO ROADWARE\, INC.",1,1,2,656480,2,656480,0,,2,2,9.0,2018,2018,1,DEPT OF TRANSPORTATION,new_vendor_large|whole_dollar,,,,"FUGRO ROADWARE\, INC."
TORTOLITA HEALTHCARE INCORPORATED,1,1,2,256000,2,256000,0,,2,2,9.0,2021,2021,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,TORTOLITA HEALTHCARE INCORPORATED
"NORTHWEST MEDIA\, INC.",1,1,1,137500,1,137500,0,,1,2,9.0,2018,2018,1,DEPT OF CHILD SAFETY,whole_dollar|new_vendor_large,,,,"NORTHWEST MEDIA\, INC."
TOTAL LAND MANAGEMENT,1,1,1,309565,1,309565,0,,1,2,9.0,2025,2025,1,DEPT OF FORESTRY AND FIRE MANAGEMENT,new_vendor_large|whole_dollar,,,,TOTAL LAND MANAGEMENT
BANNER THUNDERBIRD MEDICA,1,2,60,28617568,5,1870773,0,,2,2,9.0,2016,2025,2,AHCCCS|DEPT OF CHILD SAFETY,offcontract|true_duplicate,,,,BANNER THUNDERBIRD MEDICA
LABORATORY CORP OF AMERICA,1,1,19,4936831,19,4936831,0,,12,2,9.0,2021,2022,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,LABORATORY CORP OF AMERICA
DESTINY SPRINGS HEALTHCAR,1,1,8,2265067,5,1826961,0,,2,2,9.0,2022,2025,2,DEPT OF CHILD SAFETY|AHCCCS,offcontract|true_duplicate,,,,DESTINY SPRINGS HEALTHCAR
BANNER DESERT MEDICAL CEN,1,2,391,90745951,5,3181920,0,,3,2,9.0,2016,2025,2,DEPT OF CHILD SAFETY|AHCCCS,offcontract|true_duplicate|no_contract_named,,,,BANNER DESERT MEDICAL CEN
ABN ENGINEERING LLC,1,1,9,1446243,8,1329970,0,,1,2,9.0,2022,2025,1,DEPT OF PUBLIC SAFETY,whole_dollar|new_vendor_large,,,,ABN ENGINEERING LLC
PHOENIX CHILDRENS HOSP,1,2,718,840767901,6,4074947,0,,3,2,9.0,2016,2025,2,DEPT OF CHILD SAFETY|AHCCCS,offcontract|true_duplicate|no_contract_named,,,,PHOENIX CHILDRENS HOSP
NORTH MOUNTAIN HEALTHCARE LLC,1,1,9,1262050,9,1262050,0,,8,2,9.0,2021,2022,1,DEPT OF HEALTH SERVICES,whole_dollar|new_vendor_large,,,,NORTH MOUNTAIN HEALTHCARE LLC
